Type,City,Country,Latitude,Longitude
standard charger,Leverkusen,Germany,51.035717,6.988502
destination charger,Bye Road,United Kingdom,53.655762,-2.290255
destination charger,Pittsburgh,United States,40.4462711,-79.9970378
destination charger,Tyrrelstown,Ireland,53.419053,-6.378743
destination charger,Glenelg,Australia,-34.98098,138.511397
destination charger,Miami Beach,United States,25.781954,-80.142626
destination charger,Vitznau,Switzerland,47.014967,8.478416
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.374757,114.109834
destination charger,Ahrenshoop,Germany,54.384082,12.425815
destination charger,Tarrytown,United States,41.049684,-73.857388
destination charger,St Kilda,Australia,-37.862284,144.973965
destination charger,St. Augustine,United States,29.9049033,-81.3200534
destination charger,Cambridge,Canada,43.381492,-80.372067
destination charger,Pietrasanta,Italy,43.915906,10.212963
destination charger,Narberth,United Kingdom,51.783396,-4.801274
destination charger,Folgaria,Italy,45.882351,11.199044
destination charger,Jurica,Mexico,20.673924,-100.453393
supercharger,Hong Kong,"Hong Kong S.A.R., China",22.28364,114.15089
destination charger,New York,United States,40.737533,-73.980437
destination charger,New York,United States,40.811187,-73.963571
supercharger,台南市,Taiwan,22.989876,120.20088
destination charger,New York,United States,40.715071,-74.012203
destination charger,Little Rock,United States,34.7421207,-92.3947512
destination charger,Ensenada,Mexico,31.861633,-116.621655
supercharger,Burlington,United States,36.070788,-79.511222
destination charger,Oxton,United Kingdom,53.058692,-1.061694
supercharger,Hokksund,Norway,59.761249,9.905515
supercharger,Izmir,Turkey,38.417137,27.130529
standard charger,Ruds Vedby,Denmark,55.51016,11.379574
destination charger,Southern Pines,United States,35.1728307,-79.4246222
destination charger,Depew,United States,42.911924,-78.694689
destination charger,Little River,United States,39.272267,-123.789132
destination charger,Roma,Italy,41.98828,12.518046
destination charger,富山県,Japan,36.826122,137.41008
destination charger,Geiranger,Norway,62.092607,7.224439
supercharger,Fairfield,United States,38.261782,-122.052399
destination charger,Junee,Australia,-34.871014,147.582541
destination charger,Marseille,France,43.280709,5.387067
destination charger,Auersthal,Austria,48.372668,16.639422
supercharger,Morgan Hill,United States,37.156369,-121.653476
destination charger,Vlissingen,Netherlands,51.446344,3.564244
destination charger,Steinegg,Italy,46.483919,11.457039
destination charger,Avondale,United States,29.887978,-90.193344
destination charger,Avenel,Australia,-36.891159,145.229562
destination charger,St Mary Bourne,United Kingdom,51.246825,-1.391967
destination charger,Alton,United Kingdom,51.18836,-0.903896
destination charger,Greenwich,United States,41.0942381,-73.7098113
destination charger,Montepulciano,Italy,43.094561,11.796415
destination charger,Morelia,Mexico,19.685278,-101.163392
destination charger,高野町,Japan,31.81112,130.957191
destination charger,Schaumburg,United States,42.047578,-88.05899
destination charger,Orford,Canada,45.306386,-72.164186
destination charger,Miguel Hidalgo,Mexico,19.431843,-99.193952
destination charger,Lugano,Switzerland,45.993497,8.942443
destination charger,Porto Cervo,Italy,41.118053,9.535408
destination charger,Castelrotto,Italy,46.568818,11.562423
supercharger,Manzanares,Spain,39.006311,-3.383035
destination charger,Ziano di Fiemme,Italy,46.287028,11.565293
destination charger,Payson,United States,34.2512098,-111.3217987
destination charger,Cowes,Australia,-38.450441,145.240202
destination charger,Westwego,United States,29.9075536,-90.1605889
destination charger,Guadalajara,Mexico,20.653138,-103.389201
destination charger,Cabo San Lucas,Mexico,22.915156,-109.835751
supercharger,Washington,United Kingdom,54.887466,-1.558245
destination charger,Revelstoke,Canada,51.00966,-118.210031
supercharger,Augusta,United States,33.514985,-82.04446
destination charger,Saltillo,Mexico,25.44469,-100.985428
supercharger,Missoula,United States,46.914375,-114.031924
supercharger,Superior,United States,39.954889,-105.164646
destination charger,Seffner,United States,28.008119,-82.301067
destination charger,Rancho Santa Fe,United States,32.997119,-117.194047
destination charger,Poole,United Kingdom,50.766851,-2.073197
destination charger,Weissensee,Austria,46.717782,13.289482
destination charger,Waging am See,Germany,47.934705,12.752974
supercharger,Rubigen,Switzerland,46.892094,7.542931
destination charger,Willits,United States,39.39969,-123.349082
destination charger,Ballycastle,United Kingdom,55.191617,-6.242496
standard charger,대구광역시,South Korea,35.855812,128.606333
destination charger,Airdrie,Canada,51.301112,-113.997597
destination charger,Loreto,Mexico,25.717947,-111.233261
destination charger,San Ignacio,Mexico,27.28195,-112.898947
destination charger,Strass im Zillertal,Austria,47.390608,11.824223
destination charger,"Cancun, Quintana Roo",Mexico,21.038935,-86.781869
destination charger,Jacksonville,United States,30.249266,-81.5981
destination charger,Columbus,United States,40.115967,-83.013604
destination charger,Dubai,United Arab Emirates,25.270783,55.327072
destination charger,Ensenada,Mexico,30.400377,-115.911936
destination charger,Smyrna,United States,35.974206,-86.576891
destination charger,Menen,Belgium,50.801815,3.12192
destination charger,Ghent,United States,42.252397,-73.64195
supercharger,Slidell,United States,30.266552,-89.760156
destination charger,St. Leonhard im Pitztal,Austria,46.975188,10.868474
destination charger,Chasseneuil-du-Poitou,France,46.650701,0.376165
destination charger,Nonnenhorn,Germany,47.575506,9.611288
destination charger,Monterrey,Mexico,25.647491,-100.325805
standard charger,Heiligenstadt,Germany,49.841223,11.197854
supercharger,Gouda,Netherlands,52.022778,4.684873
destination charger,瑞穗鄉,Taiwan,23.508146,121.376387
supercharger,Lavik,Norway,61.103661,5.513039
destination charger,Spokane Valley,United States,47.673676,-117.201827
supercharger,Lermoos,Austria,47.3948,10.887553
supercharger,Blind River,Canada,46.185322,-82.926876
supercharger,Claymont,United States,39.817478,-75.457259
destination charger,Pooler,United States,32.146895,-81.25244
destination charger,Faervik,Norway,58.446326,8.849191
destination charger,Magnor,Norway,59.931625,12.239529
destination charger,Coober Pedy,Australia,-29.0106166,134.7543206
supercharger,San Jose,United States,37.321909,-121.949106
destination charger,Launceston,Australia,-41.440356,147.12888
destination charger,Sterling,United States,40.474278,-104.891562
destination charger,Austin,United States,30.477825,-97.680383
destination charger,静岡県,Japan,35.03921,138.935511
destination charger,Zagreb,Croatia,45.811083,15.97991
destination charger,長野県,Japan,36.843024,138.196977
supercharger,Eidfjord,Norway,60.467438,7.068209
supercharger,Ugchelen,Netherlands,52.177652,5.912803
destination charger,Sainte-Preuve,France,49.614794,3.882369
destination charger,Pfofeld OT Langlau,Germany,49.127472,10.863402
destination charger,Kristiansund,Norway,63.10858962,7.7287436
destination charger,Miami Beach,United States,25.812762,-80.122904
destination charger,Sydney,Australia,-33.875975,151.212678
destination charger,Schneizlreuth,Germany,47.711825,12.784193
destination charger,Cochrane,Canada,49.05906,-81.036314
destination charger,Nuriootpa,Australia,-34.47298,138.995783
destination charger,Bromont,Canada,45.304932,-72.63798
destination charger,Zell am See,Austria,47.327854,12.786263
destination charger,Westport,United States,46.859479,-124.108594
supercharger,Big Timber,United States,45.83626,-109.94341
destination charger,Grand Canyon Village,United States,35.969588,-112.129535
standard charger,安平區,Taiwan,22.999171,120.148811
destination charger,Rosarito,Mexico,32.33475,-117.055116
destination charger,Guadalupe,Mexico,25.651732,-100.26532
destination charger,Champfèr,Switzerland,46.477494,9.810836
destination charger,Reva,United States,38.460384,-78.128655
destination charger,Victoria,Canada,48.420311,-123.362929
destination charger,Santa Clara,United States,37.383181,-121.978802
destination charger,Dahlonega,United States,34.53318,-83.986424
destination charger,Ithaca,United States,42.401672,-76.502904
supercharger,Moses Lake,United States,47.103808,-119.310556
destination charger,Tultitlan,Mexico,19.608868,-99.188942
destination charger,Guadalajara,Mexico,20.65255,-103.396651
destination charger,San Pedro Garza Garcia,Mexico,25.651756,-100.332504
destination charger,St Helena,United States,38.50939,-122.478401
destination charger,Whitney,Canada,45.489634,-78.244608
destination charger,Taylors Falls,United States,45.488811,-92.705093
supercharger,San Clemente,United States,33.436793,-117.626864
destination charger,Plymouth,United States,38.480967,-120.847971
destination charger,Miguel Hidalgo,Mexico,19.425059,-99.178321
destination charger,Cuauhtemoc,Mexico,19.432348,-99.154855
destination charger,Murray,United States,36.635046,-88.309691
supercharger,Kanazawa,Japan,36.59876438,136.6242859
